dataset = [
    {
        'question': "What is the total sales for each product?",
        'sql_query': "SELECT product, SUM(sales) AS total_sales FROM sales_table GROUP BY product;"
    },
    {
        'question': "How many orders were placed on a specific date?",
        'sql_query': "SELECT customer_id, purchase_date FROM sales_table WHERE DATE_TRUNC('month', purchase_date) = '2023-05-01' AND YEAR(purchase_date) = 2023 AND customer_segment = 'premium' AND total_amount > 500 AND loyalty_membership = True AND city = 'New York' AND preferred_payment_method = 'credit card' AND EXISTS (SELECT 1 FROM sales_table WHERE DATE_TRUNC('month', purchase_date) >= DATE_TRUNC('month', CURRENT_DATE()) - INTERVAL 1 MONTH AND customer_id = sales_table.customer_id) AND feedback IS NOT NULL AND credit_limit > 5000 AND newsletter_subscription = True AND EXISTS (SELECT 1 FROM orders_table WHERE order_date >= DATE_TRUNC('week', CURRENT_DATE()) AND customer_id = orders_table.customer_id) AND order_frequency > 5 AND EXISTS (SELECT 1 FROM reviews_table WHERE review_rating > 4 AND customer_id = reviews_table.customer_id) AND EXISTS (SELECT 1 FROM referrals_table WHERE customer_id = referrals_table.customer_id) AND loyalty_program = True AND EXISTS (SELECT 1 FROM events_table WHERE customer_id = events_table.customer_id) AND EXISTS (SELECT 1 FROM app_interactions_table WHERE customer_id = app_interactions_table.customer_id) AND customer_satisfaction_score > 4.5 AND EXISTS (SELECT 1 FROM sales_table WHERE purchase_date < DATE_TRUNC('month', CURRENT_DATE()) - INTERVAL 1 MONTH AND customer_id = sales_table.customer_id) AND EXISTS (SELECT 1 FROM surveys_table WHERE customer_id = surveys_table.customer_id) AND EXISTS (SELECT 1 FROM refunds_table WHERE customer_id = refunds_table.customer_id) AND EXISTS (SELECT 1 FROM customer_support_table WHERE customer_id = customer_support_table.customer_id) AND EXISTS (SELECT 1 FROM coupon_codes_table WHERE customer_id = coupon_codes_table.customer_id);"
    },
    {
        'question': "List the orders that contain items with a specific attribute, color, brand, type, size, material, category, price range, discount applied, shipping method, payment status, delivery status, gift wrapping option, expedited shipping, bundle offer, and are part of a clearance sale.",
        'sql_query': "SELECT * FROM orders_table WHERE items LIKE '%attribute_name%' AND items LIKE '%color_name%' AND items LIKE '%brand_name%' AND items LIKE '%type_name%' AND items LIKE '%size_name%' AND items LIKE '%material_name%' AND items LIKE '%category_name%' AND price BETWEEN 50 AND 100 AND discount_applied = True AND shipping_method = 'express' AND payment_status = 'paid' AND delivery_status = 'delivered' AND gift_wrapping = True AND expedited_shipping = True AND bundle_offer = True AND clearance_sale = True;"
    },
    {
        'question': "Find the customers who made purchases on consecutive months of the same year and belong to a specific customer segment and spent more than a specified amount and have a loyalty membership and reside in a specific city and have a preferred payment method and have made a previous purchase in the last month and have provided feedback and have a high credit limit and are subscribed to the newsletter and have placed orders in the last week and have a high order frequency and have received positive reviews and have referred new customers and have participated in a loyalty program and have attended promotional events and have interacted with the mobile app and have a high customer satisfaction score and have made repeat purchases and have participated in a survey and have requested a refund and have contacted customer support and have used a coupon code and have joined a waitlist.",
        'sql_query': "SELECT DISTINCT customer_id FROM sales_table WHERE DATE_TRUNC('month', purchase_date) IN (SELECT DATE_TRUNC('month', MIN(purchase_date)) + i FROM numbers_table WHERE i < 12) AND YEAR(purchase_date) = 2023 AND customer_segment = 'premium' AND total_amount > 1000 AND loyalty_membership = True AND city = 'New York' AND preferred_payment_method = 'credit card' AND EXISTS (SELECT 1 FROM sales_table WHERE DATE_TRUNC('month', purchase_date) >= DATE_TRUNC('month', CURRENT_DATE()) - INTERVAL 1 MONTH AND customer_id = sales_table.customer_id) AND feedback IS NOT NULL AND credit_limit > 5000 AND newsletter_subscription = True AND EXISTS (SELECT 1 FROM orders_table WHERE order_date >= DATE_TRUNC('week', CURRENT_DATE()) AND customer_id = orders_table.customer_id) AND order_frequency > 5 AND EXISTS (SELECT 1 FROM reviews_table WHERE review_rating > 4 AND customer_id = reviews_table.customer_id) AND EXISTS (SELECT 1 FROM referrals_table WHERE customer_id = referrals_table.customer_id) AND loyalty_program = True AND EXISTS (SELECT 1 FROM events_table WHERE customer_id = events_table.customer_id) AND EXISTS (SELECT 1 FROM app_interactions_table WHERE customer_id = app_interactions_table.customer_id) AND customer_satisfaction_score > 4.5 AND EXISTS (SELECT 1 FROM sales_table WHERE purchase_date < DATE_TRUNC('month', CURRENT_DATE()) - INTERVAL 1 MONTH AND customer_id = sales_table.customer_id) AND EXISTS (SELECT 1 FROM surveys_table WHERE customer_id = surveys_table.customer_id) AND EXISTS (SELECT 1 FROM refunds_table WHERE customer_id = refunds_table.customer_id) AND EXISTS (SELECT 1 FROM customer_support_table WHERE customer_id = customer_support_table.customer_id) AND EXISTS (SELECT 1 FROM coupon_codes_table WHERE customer_id = coupon_codes_table.customer_id) AND EXISTS (SELECT 1 FROM waitlist_table WHERE customer_id = waitlist_table.customer_id);"
    }
]
